time,electricity-price,LNG-value
2001-01-01,5.75,7.75
2001-02-01,7.7,9.34
2001-03-01,7.7,9.84
2001-04-01,7.58,10.06
2001-05-01,8.05,7.53
2001-06-01,8.92,7.09
2001-07-01,13.03,5.17
2001-08-01,12.04,4.68
2001-09-01,11.96,3.83
2001-10-01,11.02,3.31
2001-11-01,8.79,3.4
2001-12-01,8.62,3.75
2002-01-01,8.33,5.51
2002-02-01,8.37,4.5
2002-03-01,8.79,4.25
2002-04-01,8.74,5.48
2002-05-01,9.73,4.84
2002-06-01,10.15,4.45
2002-07-01,11.9,4.53
2002-08-01,10.96,4.3
2002-09-01,10.44,4.46
2002-10-01,10.64,5.02
2002-11-01,9.91,5.81
2002-12-01,9.25,6.0
2003-01-01,8.67,7.36
2003-02-01,9.43,7.15
2003-03-01,8.81,7.75
2003-04-01,9.83,7.84
2003-05-01,9.93,6.66
2003-06-01,10.12,7.03
2003-07-01,11.54,6.93
2003-08-01,10.49,6.94
2003-09-01,8.65,7.18
2003-10-01,9.17,6.94
2003-11-01,9.26,6.89
2003-12-01,8.91,7.48
2004-01-01,8.65,8.66
2004-02-01,9.46,7.92
2004-03-01,8.96,7.7
2004-04-01,8.25,6.68
2004-05-01,9.03,7.11
2004-06-01,9.42,7.53
2004-07-01,10.48,7.68
2004-08-01,9.93,7.65
2004-09-01,9.73,7.55
2004-10-01,9.79,7.39
2004-11-01,8.83,8.68
2004-12-01,8.45,9.52
2005-01-01,8.61,9.53
2005-02-01,8.93,8.88
2005-03-01,8.78,8.94
2005-04-01,8.88,8.4
2005-05-01,9.16,8.71
2005-06-01,9.86,8.46
2005-07-01,10.99,8.51
2005-08-01,10.42,8.66
2005-09-01,10.16,9.53
2005-10-01,10.2,11.6
2005-11-01,9.08,13.39
2005-12-01,8.95,12.78
2006-01-01,9.13,12.76
2006-02-01,9.57,11.49
2006-03-01,9.12,10.55
2006-04-01,9.5,8.85
2006-05-01,9.58,8.84
2006-06-01,10.77,8.06
2006-07-01,11.53,7.66
2006-08-01,11.26,8.12
2006-09-01,10.9,8.71
2006-10-01,10.26,7.56
2006-11-01,9.66,8.18
2006-12-01,9.11,9.36
2007-01-01,9.23,9.1
2007-02-01,9.28,9.1
2007-03-01,9.19,9.88
2007-04-01,9.28,9.13
2007-05-01,9.58,9.24
2007-06-01,10.66,9.72
2007-07-01,10.35,9.71
2007-08-01,11.02,8.7
2007-09-01,10.96,7.89
2007-10-01,10.66,8.14
2007-11-01,9.78,8.74
2007-12-01,9.21,9.32
2008-01-01,9.01,10.2
2008-02-01,9.25,10.15
2008-03-01,9.27,10.51
2008-04-01,8.88,11.47
2008-05-01,9.84,12.4
2008-06-01,10.87,12.91
2008-07-01,11.24,14.34
2008-08-01,11.4,12.99
2008-09-01,10.83,10.53
2008-10-01,10.57,9.27
2008-11-01,10.13,7.86
2008-12-01,9.11,8.49
2009-01-01,9.3,8.27
2009-02-01,9.44,7.31
2009-03-01,9.47,6.4
2009-04-01,9.74,6.6
2009-05-01,10.12,4.81
2009-06-01,11.29,6.0
2009-07-01,12.0,5.81
2009-08-01,11.5,6.08
2009-09-01,11.73,5.58
2009-10-01,11.51,5.84
2009-11-01,8.78,6.82
2009-12-01,9.3,8.16
2010-01-01,8.74,7.96
2010-02-01,8.84,8.49
2010-03-01,8.9,6.7
2010-04-01,9.03,7.48
2010-05-01,9.42,6.41
2010-06-01,10.44,6.83
2010-07-01,11.11,6.78
2010-08-01,10.88,7.03
2010-09-01,11.07,6.34
2010-10-01,10.49,6.37
2010-11-01,9.39,6.18
2010-12-01,8.59,7.17
2011-01-01,9.02,7.38
2011-02-01,9.29,7.19
2011-03-01,9.12,7.39
2011-04-01,9.33,7.0
2011-05-01,9.7,6.95
2011-06-01,10.85,7.29
2011-07-01,11.35,7.22
2011-08-01,11.28,7.36
2011-09-01,11.02,6.82
2011-10-01,10.9,6.59
2011-11-01,9.83,6.53
2011-12-01,8.94,6.81
2012-01-01,9.59,6.71
2012-02-01,9.65,5.69
2012-03-01,9.54,6.57
2012-04-01,9.65,5.17
2012-05-01,9.92,4.86
2012-06-01,11.19,5.27
2012-07-01,11.21,5.58
2012-08-01,11.72,5.75
2012-09-01,11.9,5.3
2012-10-01,10.95,5.45
2012-11-01,10.24,5.94
2012-12-01,9.54,6.68
2013-01-01,9.65,6.73
2013-02-01,10.05,6.09
2013-03-01,9.96,6.39
2013-04-01,10.29,6.44
2013-05-01,10.9,6.74
2013-06-01,12.63,7.07
2013-07-01,12.92,6.88
2013-08-01,12.65,6.68
2013-09-01,12.72,6.27
2013-10-01,12.49,6.16
2013-11-01,11.59,6.54
2013-12-01,9.81,7.22
2014-01-01,10.35,7.5
2014-02-01,10.56,7.65
2014-03-01,10.62,8.86
2014-04-01,10.51,8.24
2014-05-01,11.35,7.71
2014-06-01,13.3,7.65
2014-07-01,14.0,7.84
2014-08-01,13.86,7.38
2014-09-01,13.94,7.35
2014-10-01,13.99,7.22
2014-11-01,12.52,6.89
2014-12-01,10.95,7.67
2015-01-01,10.61,7.67
2015-02-01,10.54,6.77
2015-03-01,10.63,6.89
2015-04-01,10.39,6.45
2015-05-01,11.32,5.51
2015-06-01,13.1,6.29
2015-07-01,14.07,6.08
2015-08-01,13.68,6.12
2015-09-01,13.76,6.15
2015-10-01,13.56,5.94
2015-11-01,12.07,5.83
2015-12-01,10.51,6.99
2016-01-01,10.38,6.56
2016-02-01,10.24,6.9
2016-03-01,10.24,6.67
2016-04-01,10.49,5.7
2016-05-01,11.51,5.84
2016-06-01,13.44,5.8
2016-07-01,13.93,6.3
2016-08-01,13.93,6.91
2016-09-01,13.65,7.35
2016-10-01,10.65,7.27
2016-11-01,11.84,7.48
2016-12-01,10.89,8.44
2017-01-01,10.55,8.38
2017-02-01,10.72,7.96
2017-03-01,11.04,7.71
2017-04-01,9.84,7.19
2017-05-01,12.12,7.05
2017-06-01,14.9,7.01
2017-07-01,14.32,6.59
2017-08-01,14.27,6.43
2017-09-01,14.32,6.24
2017-10-01,14.47,6.09
2017-11-01,12.76,6.38
2017-12-01,11.21,7.14
2018-01-01,11.13,7.63
2018-02-01,11.32,7.56
2018-03-01,11.73,7.53
2018-04-01,10.91,6.44
2018-05-01,12.53,6.17
2018-06-01,14.67,6.17
2018-07-01,15.15,6.52
2018-08-01,15.17,8.16
2018-09-01,14.4,7.13
2018-10-01,14.35,6.19
2018-11-01,13.05,7.09
2018-12-01,11.8,8.72
2019-01-01,11.17,9.12
2019-02-01,11.47,8.61
2019-03-01,11.12,9.01
2019-04-01,10.9,7.86
2019-05-01,12.72,6.81
2019-06-01,14.92,6.6
2019-07-01,14.98,6.96
2019-08-01,15.09,6.97
2019-09-01,15.1,6.78
2019-10-01,14.96,6.97
2019-11-01,14.15,7.16
2019-12-01,12.14,8.58
2020-01-01,11.8,8.92
2020-02-01,11.86,8.26
2020-03-01,12.18,7.68
2020-04-01,11.87,7.17
2020-05-01,13.51,6.61
2020-06-01,16.01,6.78
2020-07-01,16.28,6.69
2020-08-01,16.3,6.68
2020-09-01,16.17,6.91
2020-10-01,15.64,7.11
2020-11-01,14.38,7.86
2020-12-01,12.82,8.87
2021-01-01,12.7,10.27
2021-02-01,12.91,9.59
2021-03-01,12.99,9.82
2021-04-01,12.99,8.75
2021-05-01,13.69,8.12
2021-06-01,15.37,8.19
2021-07-01,17.01,8.74
2021-08-01,16.7,8.66
2021-09-01,16.81,9.01
2021-10-01,15.88,10.43
2021-11-01,14.51,11.46
2021-12-01,13.79,12.8
2022-01-01,13.58,14.32
2022-02-01,13.98,13.04
2022-03-01,14.95,12.93
2022-04-01,15.39,11.7
2022-05-01,16.07,12.27
2022-06-01,17.54,14.2
2022-07-01,19.79,13.37
2022-08-01,19.58,14.36
2022-09-01,19.3,14.61
2022-10-01,18.41,13.28
2022-11-01,16.64,13.61
2022-12-01,17.03,16.96
2023-01-01,16.52,21.38
2023-02-01,15.69,21.81
2023-03-01,16.94,15.86
2023-04-01,15.81,11.52
2023-05-01,17.7,9.21
2023-06-01,19.08,9.2
2023-07-01,20.66,9.57
2023-08-01,21.8,10.71
2023-09-01,20.41,10.4
2023-10-01,20.15,9.74
2023-11-01,18.33,12.52
2023-12-01,17.99,12.95
2024-01-01,17.95,13.29
2024-02-01,18.07,14.35
2024-03-01,18.96,13.19
2024-04-01,19.3,11.3
2024-05-01,21.23,9.11
2024-06-01,22.54,9.07
2024-07-01,26.12,9.87
